country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","14-02-2026 12:00:00",22.126650,83.483212,OZONE,1,65,10
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","14-02-2026 12:00:00",22.1910172,83.5197009,NO2,12,59,28
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","14-02-2026 12:00:00",28.563262,77.186937,NH3,7,11,9
India,Delhi,Delhi,"Rohini, Delhi - DPCC","14-02-2026 12:00:00",28.732528,77.119920,NH3,7,12,10
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","14-02-2026 12:00:00",28.6514781,77.1473105,CO,22,119,71
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","14-02-2026 12:00:00",28.5504249,77.2159377,PM2.5,58,349,216
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","14-02-2026 12:00:00",28.531346,77.190156,PM10,84,329,139
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","14-02-2026 12:00:00",28.672342,77.315260,PM2.5,73,335,234
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","14-02-2026 12:00:00",28.647622,77.3158090,CO,56,143,110
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","14-02-2026 12:00:00",28.695381,77.181665,SO2,11,24,16
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","14-02-2026 12:00:00",28.7256504,77.2011573,NO2,67,153,98
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","14-02-2026 12:00:00",28.7256504,77.2011573,OZONE,12,171,15
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","14-02-2026 12:00:00",28.5512005,77.2735737,PM10,84,369,198
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","14-02-2026 12:00:00",28.5512005,77.2735737,OZONE,3,62,5
India,Delhi,Delhi,"DTU, Delhi - CPCB","14-02-2026 12:00:00",28.7500499,77.1112615,NO2,24,47,38
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","14-02-2026 12:00:00",28.5710274,77.0719006,NO2,39,148,84
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","14-02-2026 12:00:00",28.6811736,77.3025234,PM2.5,66,240,131
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","14-02-2026 12:00:00",28.6811736,77.3025234,SO2,2,34,18
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","14-02-2026 12:00:00",28.6811736,77.3025234,OZONE,26,31,27
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","14-02-2026 12:00:00",28.636429,77.201067,PM10,88,266,158
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","14-02-2026 12:00:00",28.636429,77.201067,SO2,2,20,10
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","14-02-2026 12:00:00",28.570173,76.933762,NH3,12,14,14
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","14-02-2026 12:00:00",28.570173,76.933762,OZONE,3,162,16
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","14-02-2026 12:00:00",28.567890,77.250515,NH3,5,11,8
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","14-02-2026 12:00:00",28.623763,77.287209,PM10,108,369,212
India,Delhi,Delhi,"Pusa, Delhi - DPCC","14-02-2026 12:00:00",28.639652,77.146275,PM10,120,308,190
India,Delhi,Delhi,"Pusa, Delhi - DPCC","14-02-2026 12:00:00",28.639652,77.146275,NH3,9,35,20
India,Delhi,Delhi,"Pusa, Delhi - DPCC","14-02-2026 12:00:00",28.639652,77.146275,CO,34,119,78
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","14-02-2026 12:00:00",28.4417,77.3217,PM2.5,92,95,93
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","14-02-2026 12:00:00",29.503664,75.467934,NH3,13,15,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","14-02-2026 12:00:00",29.503664,75.467934,SO2,10,11,11
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","14-02-2026 12:00:00",29.503664,75.467934,OZONE,53,73,64
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","14-02-2026 12:00:00",28.422681,77.148944,PM10,53,309,165
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","14-02-2026 12:00:00",28.4227,77.0667,PM2.5,88,484,300
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","14-02-2026 12:00:00",28.4227,77.0667,NO2,6,15,9
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","14-02-2026 12:00:00",28.4227,77.0667,SO2,5,10,8
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","14-02-2026 12:00:00",28.4227,77.0667,OZONE,3,16,7
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","14-02-2026 12:00:00",28.4501238,77.0263051,PM10,139,425,236
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","14-02-2026 12:00:00",28.593883,76.270653,PM10,78,141,128
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","14-02-2026 12:00:00",28.593883,76.270653,NO2,9,22,15
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","14-02-2026 12:00:00",28.206800,76.799700,PM10,50,223,139
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","14-02-2026 12:00:00",28.206800,76.799700,NH3,9,26,19
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","14-02-2026 12:00:00",28.206800,76.799700,SO2,6,7,7
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","14-02-2026 12:00:00",28.39072,77.30059,SO2,8,8,8
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","14-02-2026 12:00:00",28.39072,77.30059,OZONE,27,34,31
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","14-02-2026 12:00:00",28.376058,77.315741,SO2,4,129,10
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","14-02-2026 12:00:00",22.969611,72.643500,PM10,78,419,155
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","14-02-2026 12:00:00",22.969611,72.643500,SO2,2,21,15
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","14-02-2026 12:00:00",22.969611,72.643500,CO,16,24,18
